# *****		HAND SELECTED		*****
#	extended catalog of pts \ DS9
#	x	y	radius
       20319.510       1537.2864       49.821406
       19991.882       1307.1168       16.436274
       20089.341       1365.1776       11.387212
       20242.787       1365.1776       8.4470922
       20066.531       1414.9440       17.980846
       20012.618       1406.6496       9.0631457
       19475.325       2244.5376       63.336521
       17824.739       2256.9792       72.302295
       18276.784       2062.0608       13.711401
       18090.160       2485.0752       20.169971
       19396.528       2302.5984       7.0331402
       18372.170       2526.5472       9.7103201
       18137.200       1428.0000       12.361183
       17443.600       1222.8000       8.2149519
       18251.200       1453.2000       9.2186646
       18424.000       1201.2000       14.001287
       17753.200       1494.0000       10.588054
       17416.000       1684.8000       6.1353875
       17390.800       1716.0000       12.940291
       16992.400       964.80000       14.817316
       17107.600       1414.8000       18.795566
       17070.400       1420.8000       25.167836
       16724.800       956.40000       24.000000
       16706.800       2239.2000       24.678126
       17509.600       1938.0000       8.7906967
       17144.800       2049.6000       11.660456
       16792.000       1992.0000       13.004010
       16446.400       2253.6000       13.704752
       16297.600       1780.8000       7.2524447
       16289.200       1968.0000       3.7023903
       15908.800       2224.8000       4.3226788
       16033.600       2247.6000       5.5256217
       16010.800       2262.0000       12.868313
       15930.400       2252.4000       7.2227434
       15833.200       2151.6000       12.918953
       16290.400       2498.4000       9.9849903
       15433.600       2150.4000       10.134145
       15425.200       2136.0000       8.2565128
       15415.600       2164.8000       9.5529326
       15402.400       2169.6000       8.2424372
       15412.000       2119.2000       8.7903729
       15418.000       2079.6000       8.1153475
       15114.400       2307.6000       9.3422269
       15118.000       2290.8000       6.4063133
       15186.400       2024.4000       17.779964
       15052.000       2148.0000       8.2750606
       14818.000       2098.8000       12.958561
       14843.200       2076.0000       10.096245
       14824.000       2077.2000       6.1120269
       14846.800       1980.0000       10.097771
       14389.600       820.80000       42.093629
       14425.600       772.80000       16.087645
       14389.600       718.80000       10.962638
       14411.200       711.60000       5.7854352
       14681.200       721.20000       5.9161739
       14044.000       969.60000       6.2327798
       14102.800       1645.2000       182.19545
       13820.800       1330.8000       10.401406
       13614.400       974.40000       27.848338
       13530.400       907.20000       30.947172
       13474.000       546.24000       21.741857
       13170.160       670.08000       14.023155
       14009.680       986.88000       9.6238141
       11769.520       348.48000       42.025153
       11662.960       365.76000       21.766870
       11706.160       295.20000       26.861522
       12025.840       259.20000       14.250135
       11978.320       300.96000       7.9211598
       12429.040       250.56000       8.1235694
       10498.480       239.04000       19.954681
       9843.2800       135.36000       24.780683
       9837.5200       47.520000       13.187549
       8783.4400       608.64000       134.38215
       8930.3200       532.32000       31.212394
       8972.0800       617.28000       15.820528
       9048.4000       592.80000       18.499295
       13436.080       2874.7200       80.508307
       13499.440       2778.2400       28.800000
       12999.760       2857.4400       18.052710
       12943.600       2889.1200       23.760646
       13001.200       2817.1200       15.845141
       13947.280       2771.0400       15.129879
       9351.2800       2939.5200       47.947991
       9423.2800       2974.0800       12.490285
       9292.2400       2870.4000       7.8578052
       9352.7200       2824.3200       8.0970316
