# *****		HAND SELECTED		*****
#	extended catalog of pts \ DS9
#	x	y	radius
       2202.4400       6606.4416       68.032219
       2378.6960       6652.0608       20.902796
       2353.8128       6679.0176       7.0331402
       1092.2128       5463.9440       74.696370
       1032.0784       5399.6624       41.472000
       1146.1264       5391.3680       41.472000
       393.40960       5190.2288       41.472000
       307.04960       6340.8528       31.783330
       398.28800       6266.2032       26.660455
       319.49120       6270.3504       22.083861
       354.74240       6262.0560       22.108945
       769.46240       6639.4512       9.6824116
       406.58240       6324.2640       8.2534557
       354.74240       6378.1776       16.400660
       1426.7936       5258.9056       14.828693
       1441.3088       5240.2432       15.916698
       1050.1296       3945.6416       18.020144
       1102.1600       5929.5200       5.8676476
       1109.3600       5922.3200       6.2365715
       1126.6400       5930.9600       8.1996417
       886.16000       5969.8400       10.521034
       768.08000       6167.1200       9.8004842
       2279.6720       6694.5600       78.179221
       2407.5440       6756.7680       34.560000
       2473.2080       6646.1760       23.565569
       2170.8080       6691.1040       18.087516
       1419.1280       6779.2320       0.0000000
       1408.7600       6793.0560       34.560000
       1564.2800       6744.6720       14.955299
       1636.8560       6730.8480       14.831483
       1329.2720       6858.7200       34.560000
       1797.5600       6701.4720       15.087049
       1149.9789       9561.9744       360.58588
       508.92000       10311.785       49.766400
       1228.0445       10664.002       21.992908
       941.88768       11012.367       40.719929
       1067.2314       12843.274       66.614779
       676.06746       13799.784       83.524040
       887.57466       13768.402       51.735506
       582.57894       14145.383       59.719679
       1576.9116       14043.860       25.231825
       1036.4485       14458.912       44.498201
       756.98400       3817.4560       22.227501
       1434.5200       6738.6080       34.560000
       1387.8640       6740.3360       34.560000
       541.14400       6733.4240       34.560000
       2153.3680       6545.0720       34.560000
       2443.6720       6723.0560       14.128568
       1913.1760       6574.4480       9.0308264
       2473.0480       6688.4960       18.770066
       1530.2728       6629.5366       3.8761340
       1528.7224       6622.3657       3.8761340
       1526.5905       6627.2109       3.8761340
